Dates,StormNum,StormType,StormTypeNum
20171209,1,Cold side of stationary front,1
20171210,1,Cold side of stationary front,1
20171214,2,Cold side of stationary front,1
20180104,3,Comma head ,2
20180105,3,Comma head ,2
20180130,4,Cold side of stationary front,1
20180131,5,Scattered precipitation,5
20180202,6,Cold front,4
20180307,7,Comma Head,2
20180308,7,Comma Head,2
20181224,8,Cold side of stationary front,1
20190118,9,Cold side of stationary front,1
20190119,10,Ahead of warm front; comma head,3
20190120,10,Ahead of warm front; comma head,3
20190129,11,Cold front,4
20190130,11,Cold front,4
20190211,12,Cold side of stationary front,1
20190212,13,Ahead of warm front,3
20190213,13,Ahead of warm front,3
20190220,14,Ahead of warm front,3
20190221,14,Ahead of warm front,3
20191206,15,Warm sector,5
20191207,15,Warm sector,5
20191210,16,Cold front,4
20191211,16,Cold front,4
20191216,17,Cold side of stationary front,1
20191217,17,Cold side of stationary front,1
20191218,17,Cold side of stationary front,1
20200105,18,Cold side of stationary front,1
20200106,19,Cold Front,4
20200107,20,Comma head,2
20200108,20,Comma head,2
20200118,21,Ahead of warm front,3
20200119,21,Ahead of warm front,3
20200125,22,Ahead of warm front; comma head,3
20200126,22,Ahead of warm front; comma head,3
20200202,23,Post frontal,4
20200203,24,Cold side of stationary front,1
20200204,25,Cold side of stationary front,1
20200206,26,Cold side of stationary front,1
20200207,27,Comma head,2
20200211,28,Cold side of stationary front,1
20200213,29,Cold side of stationary front,1
20200218,30,Cold side of stationary front,1
20200219,30,Cold side of stationary front,1
20200224,31,Scattered precipitation,5
20200225,32,Cold side of stationary front,1
20200226,32,Cold side of stationary front,1
20200227,33,Ahead of warm front; comma head,3
20201216,34,Comma head,2
20201217,34,Comma head,2
20210103,35,Cold side of stationary front,1
20210116,36,Ahead of warm front,3
20210126,37,Cold side of stationary front,1
20210127,37,Cold side of stationary front,1
20210131,38,Comma head,2
20210201,38,Comma head,2
20210202,38,Comma head,2
20210207,39,Ahead of warm front; comma head,3
20210211,40,Cold side of stationary front,1
20210213,41,Cold side of stationary front,1
20210214,41,Cold side of stationary front,1